Location,Key,Value,State,FactSource
Hawthorn,Electorate,Hindmarsh,SA 
Marleston,Electorate,Port Adelaide,SA 
Aldersyde,Electorate,O'Connor,WA 
Kingswood Estate,Electorate,Hindmarsh,SA 
Kings Park,Electorate,Hindmarsh,SA 
Bullington,Electorate,Hindmarsh,SA 
Brooklyn Park Extension,Electorate,Hindmarsh,SA 
Kurralta,Electorate,Port Adelaide,SA 
Marshfield,Electorate,Port Adelaide,SA 
Mitcham Park Extension,Electorate,Adelaide,SA 
Penryn,Electorate,Hindmarsh,SA 
Penrhyn,Electorate,Hindmarsh,SA 
Brenchley Estate,Electorate,Hindmarsh,SA 
North Mitcham,Electorate,Hindmarsh,SA 
Kingswood Park,Electorate,Hindmarsh,SA 
Weeroopa,Electorate,Hindmarsh,SA 
Lockleys,Electorate,Hindmarsh,SA 
Millswood Estate,Electorate,Hindmarsh,SA 
Galway Gardens,Electorate,Port Adelaide,SA 
Craigholm,Electorate,Hindmarsh,SA 
TERANG,Electorate,Wannon,GA 
Mitchamville,Electorate,Hindmarsh,SA 
NOORAT,Electorate,Wannon,VIC 
Ashford Estate,Electorate,Port Adelaide,SA 
Ashford South,Electorate,Port Adelaide,SA 
Ashford,Electorate,Port Adelaide,SA 
Howden,Electorate,Braddon,TAS 
Pine Corner,Electorate,Braddon,TAS 
Richmond Blocks,Electorate,Port Adelaide,SA 
North Richmond,Electorate,Port Adelaide,SA 
Loftia Park,Electorate,Boothby,SA 
Forest Gardens,Electorate,Port Adelaide,SA 
Forestville,Electorate,Port Adelaide,SA 
Kingswood,Electorate,Hindmarsh,SA 
Goodwood Park,Electorate,Hindmarsh,SA 
Millswood,Electorate,Hindmarsh,SA 
Brooklyn Park,Electorate,Hindmarsh,SA 
Glossop,Electorate,Hindmarsh,SA 
HORDERN VALE,Electorate,Corangamite,VIC 
Goodwood Road Estate Extension,Electorate,Port Adelaide,SA 
Muloowurtie Tank,Electorate,Grey,SA 
Richmond,Electorate,Port Adelaide,SA 
Unley Park,Electorate,Hindmarsh,SA 
Southport Lagoon,Electorate,Franklin,TAS 
Goodwood Road Estate,Electorate,Port Adelaide,SA 
Biggs Flat,Electorate,Mayo,SA 
Mundulla,Electorate,Barker,SA 
Mundulla,Electorate,Barker,SA 
Bismarck,Electorate,Hindmarsh,SA 
Ida Bay,Electorate,Franklin,TAS 
Weeroopa Park,Electorate,Hindmarsh,SA 
Garfield,Electorate,Hindmarsh,SA 
Goodwood West Extension,Electorate,Port Adelaide,SA 
