Location,Key,Value,State,FactSource
Wataru,Electorate,Grey,SA 
Murrami,Electorate,Riverina,NSW 
Munderoo,Electorate,Riverina,NSW 
Bundawong,Electorate,Riverina,NSW 
Budawong,Electorate,Riverina,NSW 
Perisher Camp,Electorate,Riverina,NSW 
Yarmawl,Electorate,Riverina,NSW 
Finleys Lookout,Electorate,Riverina,NSW 
Finlays Lookout,Electorate,Riverina,NSW 
Koonadan,Electorate,Riverina,NSW 
Maxwell,Electorate,Riverina,NSW 
Neeambah,Electorate,Riverina,NSW 
Neeabah Siding,Electorate,Riverina,NSW 
Nericon,Electorate,Riverina,NSW 
Appertarra,Electorate,Durack,WA 
Bilbul,Electorate,Riverina,NSW 
BEELBANGERA,Electorate,Riverina,GA 
Cue,Electorate,Durack,WA 
CUE,Electorate,Durack,GA 
Old Coast Track,Electorate,Gippsland,AHO 
Crackenback,Electorate,Eden-Monaro,NSW 
Beelbangera,Electorate,Riverina,NSW 
Brays Swamp,Electorate,Riverina,NSW 
Woodbinnatarra,Electorate,Durack,WA 
Wearbe,Electorate,Durack,WA 
Willigulli North,Electorate,Durack,WA 
Moonbah,Electorate,Eden-Monaro,NSW 
BILBUL,Electorate,Riverina,GA 
Fivebough,Electorate,Riverina,NSW 
Lockwoods,Electorate,Durack,WA 
Maginnitys Gap,Electorate,Farrer,NSW 
Munyang,Electorate,Riverina,NSW 
Wollondibby Valley,Electorate,Eden-Monaro,NSW 
Popong,Electorate,Eden-Monaro,NSW 
Paupong,Electorate,Eden-Monaro,NSW 
Tooma,Electorate,Riverina,NSW 
Bondi Forest,Electorate,Eden-Monaro,NSW 
Stony Point,Electorate,Riverina,NSW 
Frenchmans Dam,Electorate,Eden-Monaro,NSW 
Harveys Camp,Electorate,Eden-Monaro,NSW 
Alpine Way,Electorate,Eden-Monaro,NSW 
Ganmurra,Electorate,Riverina,NSW 
Collingullie,Electorate,Riverina,NSW 
High Plains,Electorate,Durack,WA 
GENOA,Electorate,Gippsland,VIC 
Uranquinty,Electorate,Riverina,NSW 
Village of Uranquintry,Electorate,Riverina,NSW 
Uranquintry,Electorate,Riverina,NSW 
Glenrouth,Electorate,Riverina,NSW 
Yanganooka,Electorate,Durack,WA 
URANQUINTY,Electorate,Riverina,GA 
Village of Merriwagga,Electorate,Riverina,NSW 
Merriwagga,Electorate,Riverina,NSW 
BURGLARS GAP,Electorate,Gippsland,VIC 
Washpan Point,Electorate,Eden-Monaro,NSW 
Poormans Point,Electorate,Eden-Monaro,NSW 
Mother Moores Crossing,Electorate,Eden-Monaro,NSW 
Stonehenge,Electorate,Eden-Monaro,NSW 
Baddera,Electorate,Durack,WA 
Jimenbuen,Electorate,Eden-Monaro,NSW 
Livingstone Gully,Electorate,Riverina,NSW 
Livingstone,Electorate,Riverina,NSW 
Munga Gabbe,Electorate,Durack,WA 
Rodney,Electorate,Eden-Monaro,NSW 
Darema,Electorate,Eden-Monaro,NSW 
Currawarna,Electorate,Riverina,NSW 
Currawananna,Electorate,Riverina,NSW 
The Glade,Electorate,Eden-Monaro,NSW 
Green Rock,Electorate,Eden-Monaro,NSW 
Quidong,Electorate,Eden-Monaro,NSW 
Mulgamunda,Electorate,Durack,WA 
Sandy Gully,Electorate,Durack,WA 
WANGARABELL,Electorate,Gippsland,VIC 
Urdlu Ithapi,Electorate,Grey,SA 
Mila,Electorate,Eden-Monaro,NSW 
Carabost,Electorate,Riverina,NSW 
Mannus,Electorate,Riverina,NSW 
Alma,Electorate,Durack,WA 
Big Springs,Electorate,Riverina,NSW 
Gelston Park,Electorate,Riverina,NSW 
Trefle Park,Electorate,Eden-Monaro,NSW 
Ryries Parlour,Electorate,Riverina,NSW 
YENDA,Electorate,Riverina,GA 
Yallebewong,Electorate,Durack,WA 
Yenda,Electorate,Riverina,NSW 
The Tubbs,Electorate,Durack,WA 
Numberthown,Electorate,Durack,WA 
Kockibitoo,Electorate,Riverina,NSW 
Island Bend,Electorate,Eden-Monaro,NSW 
Alma,Electorate,Durack,WA 
LAKEWOOD ESTATE,Electorate,Eden-Monaro,GA 
Mundarragong,Electorate,Eden-Monaro,NSW 
The Lakes,Electorate,Eden-Monaro,NSW 
Wilsons Valley,Electorate,Eden-Monaro,NSW 
Mowenbah,Electorate,Eden-Monaro,NSW 
Grong Grong,Electorate,Riverina,NSW 
Wolseleys Gap,Electorate,Riverina,NSW 
Port Phillip or Wolsleys Gap,Electorate,Riverina,NSW 
Yellow Bay,Electorate,Riverina,NSW 
Yellow Bog,Electorate,Riverina,NSW 
Merriangaah,Electorate,Eden-Monaro,NSW 
Kyarra,Electorate,Durack,WA 
Ghurka,Electorate,Durack,WA 
Mannus Lookout,Electorate,Riverina,NSW 
Wolseley Park,Electorate,Riverina,NSW 
Yarragundry,Electorate,Riverina,NSW 
Dartmoor South,Electorate,Durack,WA 
The Long Corner,Electorate,Eden-Monaro,NSW 
Kyeamba,Electorate,Riverina,NSW 
Ross,Electorate,Riverina,NSW 
Jagumba,Electorate,Riverina,NSW 
Numbla Vale,Electorate,Eden-Monaro,NSW 
Rowan,Electorate,Riverina,NSW 
Oldmaragle,Electorate,Riverina,NSW 
Maragle,Electorate,Riverina,NSW 
Mangain,Electorate,Riverina,NSW 
Cuddingwarra,Electorate,Durack,WA 
WROXHAM,Electorate,Eden-Monaro,VIC 
Fowlers Gap,Electorate,Farrer,NSW 
Walga Gunya,Electorate,Durack,WA 
Kapooka,Electorate,Riverina,NSW 
Kapooka Loop,Electorate,Riverina,NSW 
Myall Park,Electorate,Riverina,NSW 
Glenroy,Electorate,Riverina,NSW 
Katalina,Electorate,Grey,SA 
Sawpit Creek,Electorate,Eden-Monaro,NSW 
Village of Jindabyne,Electorate,Eden-Monaro,NSW 
Jindabyne,Electorate,Eden-Monaro,NSW 
Village of Rosewood,Electorate,Farrer,NSW 
Rosewood,Electorate,Farrer,NSW 
Beloka,Electorate,Eden-Monaro,NSW 
Euberta,Electorate,Riverina,NSW 
Ellimo,Electorate,Riverina,NSW 
JINDABYNE,Electorate,Eden-Monaro,GA 
Millwood,Electorate,Riverina,NSW 
Rockton,Electorate,Eden-Monaro,NSW 
Lords Hill,Electorate,Eden-Monaro,NSW 
Nungatta South,Electorate,Eden-Monaro,NSW 
Pipeline Road,Electorate,Gippsland,AHO 
Toolong,Electorate,Riverina,NSW 
Nungatta,Electorate,Eden-Monaro,NSW 
Book Book,Electorate,Riverina,NSW 
American Yards,Electorate,Riverina,NSW 
San Isidore,Electorate,Riverina,NSW 
Springvale,Electorate,Riverina,NSW 
Mallacoota Road,Electorate,Gippsland,AHO 
Cottee,Electorate,Riverina,NSW 
SAN ISIDORE,Electorate,Riverina,GA 
Dartmoor,Electorate,Durack,WA 
Gleneva,Electorate,Durack,WA 
San Isadore,Electorate,Riverina,NSW 
Brobenah,Electorate,Riverina,NSW 
Boorga,Electorate,Riverina,NSW 
Bombalo,Electorate,Eden-Monaro,NSW 
Cambalong,Electorate,Eden-Monaro,NSW 
Snowy Valley Lookout,Electorate,Eden-Monaro,NSW 
Waste Point,Electorate,Eden-Monaro,NSW 
Tyrolean,Electorate,Eden-Monaro,NSW 
Jagungal Wilderness,Electorate,Riverina,NSW 
Gregadoo,Electorate,Riverina,NSW 
Thiess Village,Electorate,Riverina,NSW 
Thiess,Electorate,Riverina,NSW 
Federal Park,Electorate,Riverina,NSW 
Manara Station,Electorate,Farrer,NSW 
Manara,Electorate,Farrer,NSW 
TUMBARUMBA,Electorate,Riverina,GA 
Lloyd,Electorate,Riverina,NSW 
Town of Tumbarumba,Electorate,Riverina,NSW 
Tumbarumba,Electorate,Riverina,NSW 
Langtree Village Of,Electorate,Riverina,NSW 
Langtree,Electorate,Riverina,NSW 
Reedy,Electorate,Durack,WA 
Bourkelands,Electorate,Riverina,NSW 
Pomingalarna,Electorate,Riverina,NSW 
Tatton,Electorate,Riverina,NSW 
Maharatta,Electorate,Eden-Monaro,NSW 
Burnt Hill,Electorate,Riverina,NSW 
Stackpoole,Electorate,Riverina,NSW 
Matong,Electorate,Riverina,NSW 
The Racecourse,Electorate,Riverina,NSW 
The Nine Mile,Electorate,Riverina,NSW 
EAST JINDABYNE,Electorate,Eden-Monaro,GA 
Tolland,Electorate,Riverina,NSW 
Colinroobie,Electorate,Riverina,NSW 
Glenfield Park,Electorate,Riverina,NSW 
Mallacoota,Electorate,Gippsland,AHO 
MALLACOOTA,Electorate,Gippsland,GA 
Moorong,Electorate,Riverina,NSW 
Frog Hollow,Electorate,Riverina,NSW 
GIPSY POINT,Electorate,Gippsland,VIC 
Ashmont,Electorate,Riverina,NSW 
Malebo,Electorate,Riverina,NSW 
KARBETHONG,Electorate,Gippsland,VIC 
Yoolaroi,Electorate,Riverina,NSW 
Yoolarai,Electorate,Riverina,NSW 
MALLACOOTA (FORESHORE) NEIGHBOURHOOD SAFER PLACE,Electorate,Gippsland,VIC 
Black Spring,Electorate,Eden-Monaro,NSW 
Ogilvie,Electorate,Durack,WA 
Dartmoor,Electorate,Durack,WA 
Binya Lookout,Electorate,Riverina,NSW 
The Meadows,Electorate,Eden-Monaro,NSW 
Downfall,Electorate,Riverina,NSW 
The Downfall,Electorate,Riverina,NSW 
Burra,Electorate,Riverina,NSW 
Village of Lake Albert,Electorate,Riverina,NSW 
Lake Albert,Electorate,Riverina,NSW 
Kooringal,Electorate,Riverina,NSW 
Dirrung,Electorate,Riverina,NSW 
Mount Austin,Electorate,Riverina,NSW 
The Sill,Electorate,Grey,SA 
MIRRABOOKA,Electorate,Gippsland,VIC 
Bedding Ground,Electorate,Eden-Monaro,NSW 
Aparawilinitja,Electorate,Grey,SA 
Old Aparawilintja,Electorate,Grey,SA 
Nallan,Electorate,Durack,WA 
Jones Corner,Electorate,Eden-Monaro,NSW 
Ogilvies Creek Picnic Area,Electorate,Riverina,NSW 
Derain,Electorate,Riverina,NSW 
Palarang,Electorate,Eden-Monaro,NSW 
HIGH SHORE,Electorate,Gippsland,VIC 
MARAMINGO CREEK,Electorate,Eden-Monaro,VIC 
Oscars Lookout,Electorate,Riverina,NSW 
Turvey Park,Electorate,Riverina,NSW 
Conoble,Electorate,Farrer,NSW 
Humula,Electorate,Riverina,NSW 
WAGGA WAGGA,Electorate,Riverina,GA 
Mcfarlanes Crossing,Electorate,Eden-Monaro,NSW 
Interlaken,Electorate,Eden-Monaro,NSW 
Gibbagunyah,Electorate,Eden-Monaro,NSW 
East Jindabyne,Electorate,Eden-Monaro,NSW 
The Basin,Electorate,Riverina,NSW 
The Gulf,Electorate,Riverina,NSW 
Roseneath,Electorate,Eden-Monaro,NSW 
Roseneath,Electorate,Eden-Monaro,NSW 
Rosemeath,Electorate,Eden-Monaro,NSW 
Ironmungy,Electorate,Eden-Monaro,NSW 
Courabyra,Electorate,Riverina,NSW 
Avonside,Electorate,Eden-Monaro,NSW 
Big Bell,Electorate,Durack,WA 
Kalkite,Electorate,Eden-Monaro,NSW 
Wagga Wagga,Electorate,Riverina,NSW 
Wagga Wagga,Electorate,Riverina,NSW 
Town of South Wagga Wagga,Electorate,Riverina,NSW 
Town of North Wagga Wagga,Electorate,Riverina,NSW 
Gobbagombalin,Electorate,Riverina,NSW 
Mount Crystal,Electorate,Riverina,NSW 
American Yards,Electorate,Riverina,NSW 
Ogilvie,Electorate,Durack,WA 
Balla,Electorate,Durack,WA 
Binya,Electorate,Riverina,NSW 
East Wagga Wagga,Electorate,Riverina,NSW 
Geekle,Electorate,Eden-Monaro,NSW 
Yallabatharra,Electorate,Durack,WA 
Worlds End,Electorate,Riverina,NSW 
Westdale,Electorate,Riverina,NSW 
Taradale,Electorate,Riverina,NSW 
Dalgety,Electorate,Eden-Monaro,NSW 
The Island,Electorate,Riverina,NSW 
Pregan Island,Electorate,Riverina,NSW 
The Neck,Electorate,Grey,SA 
LAKE VIEW,Electorate,Gippsland,VIC 
Bombala,Electorate,Eden-Monaro,NSW 
Bombala,Electorate,Eden-Monaro,NSW 
Village of Dalgety,Electorate,Eden-Monaro,NSW 
Estella,Electorate,Riverina,NSW 
Maynard Bore,Electorate,Grey,SA 
North Berembed,Electorate,Riverina,NSW 
The Gap,Electorate,Riverina,NSW 
Paddys Flat,Electorate,Eden-Monaro,NSW 
Parakylia Bore,Electorate,Grey,SA 
GANMAIN,Electorate,Riverina,GA 
Hill Top,Electorate,Eden-Monaro,NSW 
North Wagga Wagga,Electorate,Riverina,NSW 
BOMBALA,Electorate,Eden-Monaro,GA 
The Meadows,Electorate,Eden-Monaro,NSW 
Tooyal,Electorate,Riverina,NSW 
BULL RING,Electorate,Eden-Monaro,VIC 
LADYSMITH,Electorate,Riverina,GA 
Ladysmith,Electorate,Riverina,NSW 
Port Gregory Road,Electorate,Durack,AHO 
Wildcat Bore,Electorate,Grey,SA 
Imandi,Electorate,Grey,SA 
ESTELLA,Electorate,Riverina,GA 
Dhulura,Electorate,Riverina,NSW 
Ironmungy,Electorate,Eden-Monaro,NSW 
Keajura,Electorate,Riverina,NSW 
Boorooma,Electorate,Riverina,NSW 
Bungarby,Electorate,Eden-Monaro,NSW 
Charles Sturt University,Electorate,Riverina,NSW 
GUMLY GUMLY,Electorate,Riverina,GA 
Sheahan,Electorate,Riverina,NSW 
Tamboolba,Electorate,Riverina,NSW 
Knightsdale,Electorate,Eden-Monaro,NSW 
Snowy Plain,Electorate,Riverina,NSW 
Ganmain,Electorate,Riverina,NSW 
MALLACOOTA,Electorate,Gippsland,VIC 
WALLAGARAUGH,Electorate,Eden-Monaro,VIC 
FOREST HILL,Electorate,Riverina,GA 
Forest Hill,Electorate,Riverina,NSW 
Binnu,Electorate,Durack,WA 
Ukaralya,Electorate,Grey,SA 
Okaralnga,Electorate,Grey,SA 
Westbrook,Electorate,Riverina,NSW 
Yambulla,Electorate,Eden-Monaro,NSW 
Woolgarong,Electorate,Durack,WA 
Garoolgan,Electorate,Riverina,NSW 
Gumly Gumly,Electorate,Riverina,NSW 
Cartwrights Hill,Electorate,Riverina,NSW 
Wog Wog,Electorate,Eden-Monaro,NSW 
Green Hills,Electorate,Riverina,NSW 
Hillgrove,Electorate,Riverina,NSW 
Timbillica,Electorate,Eden-Monaro,NSW 
Cowabbie West,Electorate,Riverina,NSW 
Woolgorong,Electorate,Durack,WA 
Flowerdale,Electorate,Riverina,NSW 
Lynton,Electorate,Durack,WA 
Coreinbob,Electorate,Riverina,NSW 
Bomen,Electorate,Riverina,NSW 
Makiri,Electorate,Grey,SA 
Brushwood,Electorate,Riverina,NSW 
Reedy,Electorate,Durack,WA 
Willandra,Electorate,Riverina,NSW 
Snow Vale,Electorate,Riverina,NSW 
Willigobung,Electorate,Riverina,NSW 
Alfredtown,Electorate,Riverina,NSW 
The Shanty,Electorate,Riverina,NSW 
Alfred Town,Electorate,Riverina,NSW 
Landervale,Electorate,Riverina,NSW 
Paddys River,Electorate,Riverina,NSW 
Coffee Pot,Electorate,Riverina,NSW 
Gunning Reach,Electorate,Eden-Monaro,NSW 
Gunninggrach,Electorate,Eden-Monaro,NSW 
Gunningrah,Electorate,Eden-Monaro,NSW 
Hardys Mill,Electorate,Riverina,NSW 
Bukalong,Electorate,Eden-Monaro,NSW 
Ashbridge,Electorate,Riverina,NSW 
Karinwaring,Electorate,Durack,WA 
Horse Corner,Electorate,Riverina,NSW 
Crooks Racecourse,Electorate,Riverina,NSW 
Nobbys Hole,Electorate,Durack,WA 
Woottarina,Electorate,Durack,WA 
Lower Bago,Electorate,Riverina,NSW 
Lower Bago,Electorate,Riverina,NSW 
Downside,Electorate,Riverina,NSW 
Redbank,Electorate,Riverina,NSW 
Town of Hillston,Electorate,Riverina,NSW 
Hillston North,Electorate,Riverina,NSW 
Daisy Hill,Electorate,Riverina,NSW 
Hillston,Electorate,Riverina,NSW 
Makurapiti,Electorate,O'Connor,SA 
HILLSTON,Electorate,Riverina,GA 
Khalassa,Electorate,Eden-Monaro,NSW 
Balla North,Electorate,Durack,WA 
Boundary Bore,Electorate,Grey,SA 
Nimmo,Electorate,Eden-Monaro,NSW 
Umbango Creek,Electorate,Riverina,NSW 
Umbango,Electorate,Riverina,NSW 
The Gap Dam,Electorate,Riverina,NSW 
Coolumbooka,Electorate,Eden-Monaro,NSW 
Cabramurra,Electorate,Riverina,NSW 
Maffra,Electorate,Eden-Monaro,NSW 
Gregory,Electorate,Durack,WA 
Town of Hillston North,Electorate,Riverina,NSW 
Brucedale,Electorate,Riverina,NSW 
Nerramyne,Electorate,Durack,WA 
Aralya,Electorate,Grey,SA 
Rocky Plain,Electorate,Eden-Monaro,NSW 
Bullenbalong,Electorate,Eden-Monaro,NSW 
Nimmo Camp,Electorate,Eden-Monaro,NSW 
Wollyllia,Electorate,Durack,WA 
Berridale,Electorate,Eden-Monaro,NSW 
Berridale,Electorate,Eden-Monaro,NSW 
Willows Waterhole,Electorate,Riverina,NSW 
The Willows Waterholes,Electorate,Riverina,NSW 
Mutawintji,Electorate,Farrer,NSW 
Village of Coolamon,Electorate,Riverina,NSW 
Coolamon,Electorate,Riverina,NSW 
Yaven Creek,Electorate,Riverina,NSW 
Yaven Creek,Electorate,Riverina,NSW 
BERRIDALE,Electorate,Eden-Monaro,GA 
Eunanyhareenyha,Electorate,Riverina,NSW 
Eunanoreenya,Electorate,Riverina,NSW 
The Island,Electorate,Riverina,NSW 
Barellan,Electorate,Riverina,NSW 
Barellan,Electorate,Riverina,NSW 
Quartzville,Electorate,Riverina,NSW 
Balline Road,Electorate,Durack,AHO 
BARELLAN,Electorate,Riverina,GA 
Oberne,Electorate,Riverina,NSW 
Binnu,Electorate,Durack,WA 
Nurenmerenmong,Electorate,Riverina,NSW 
Tuckanarra,Electorate,Durack,WA 
Cabramurra,Electorate,Riverina,NSW 
The Willows,Electorate,Riverina,NSW 
Cowabbie,Electorate,Riverina,NSW 
COOLAMON,Electorate,Riverina,GA 
Oberne Creek,Electorate,Riverina,NSW 
Oura,Electorate,Riverina,NSW 
Wangellic,Electorate,Eden-Monaro,NSW 
White Top,Electorate,Riverina,NSW 
Naradhan,Electorate,Riverina,NSW 
The Storm Lookout,Electorate,Riverina,NSW 
Storm Lookout,Electorate,Riverina,NSW 
Bibbenluke,Electorate,Eden-Monaro,NSW 
Gygederick,Electorate,Eden-Monaro,NSW 
Kampurarra Pirti,Electorate,O'Connor,WA 
Manara,Electorate,Eden-Monaro,NSW 
Eucumbene Cove,Electorate,Eden-Monaro,NSW 
Pocket Well,Electorate,Grey,SA 
Coursing Park,Electorate,Riverina,NSW 
The Five Corners,Electorate,Riverina,NSW 
The Sounding Ground,Electorate,Riverina,NSW 
Yallabatharra,Electorate,Durack,WA 
Kana Ultu,Electorate,Grey,SA 
Jincumbilly,Electorate,Eden-Monaro,NSW 
Kunytjanu,Electorate,Grey,SA 
TARCUTTA,Electorate,Riverina,GA 
Eucumbene Lookout,Electorate,Riverina,NSW 
Bobundara,Electorate,Eden-Monaro,NSW 
Coolangubra,Electorate,Eden-Monaro,NSW 
Tarcutta,Electorate,Riverina,NSW 
Village of Tarcutta,Electorate,Riverina,NSW 
Laurel Hill,Electorate,Riverina,NSW 
Laurel Hill,Electorate,Riverina,NSW 
Dulah,Electorate,Riverina,NSW 
South Murchison,Electorate,Durack,WA 
Trida,Electorate,Farrer,NSW 
Shepherds,Electorate,Riverina,NSW 
Bleak Point,Electorate,Eden-Monaro,NSW 
Borambola,Electorate,Riverina,NSW 
Pericoe,Electorate,Eden-Monaro,NSW 
Bellingerambil,Electorate,Riverina,NSW 
Buddong,Electorate,Riverina,NSW 
Braemar,Electorate,Eden-Monaro,NSW 
Braemar Bay,Electorate,Eden-Monaro,NSW 
Village of Kunama,Electorate,Riverina,NSW 
Kunama,Electorate,Riverina,NSW 
Teeta Bore,Electorate,Grey,SA 
Palyurinya,Electorate,Grey,SA 
Black-Allan Line,Electorate,Eden-Monaro,NSW 
Wauka,Electorate,Eden-Monaro,NSW 
Conference Point,Electorate,Eden-Monaro,NSW 
Sue City Camp,Electorate,Riverina,NSW 
Sue City,Electorate,Riverina,NSW 
BLACK-ALLAN LINE,Electorate,Eden-Monaro,VIC 
Ando,Electorate,Eden-Monaro,NSW 
Wallatinna,Electorate,Grey,SA 
Poddy Hut,Electorate,Eden-Monaro,NSW 
Nadgee,Electorate,Eden-Monaro,NSW 
Catchcart,Electorate,Eden-Monaro,NSW 
Cathcart,Electorate,Eden-Monaro,NSW 
Boco,Electorate,Eden-Monaro,NSW 
Moombooldool,Electorate,Riverina,NSW 
Mount Cooper,Electorate,Eden-Monaro,NSW 
North Merrowie,Electorate,Riverina,NSW 
Wallacetown,Electorate,Riverina,NSW 
Village of Wallace,Electorate,Riverina,NSW 
Darlow,Electorate,Riverina,NSW 
Darlow,Electorate,Riverina,NSW 
Kunama,Electorate,Riverina,NSW 
Wallacetown,Electorate,Riverina,NSW 
Jones Corner,Electorate,Eden-Monaro,NSW 
Wiluna,Electorate,Durack,WA 
Lanes Bridge,Electorate,Riverina,NSW 
Barjarder,Electorate,Durack,WA 
Toonga,Electorate,Riverina,NSW 
Porlell,Electorate,Durack,WA 
Buckenderra,Electorate,Eden-Monaro,NSW 
Middlingbank,Electorate,Eden-Monaro,NSW 
Benefield,Electorate,Eden-Monaro,NSW 
Marrar,Electorate,Riverina,NSW 
Village of Marror,Electorate,Riverina,NSW 
Yathella,Electorate,Riverina,NSW 
Springfield,Electorate,Eden-Monaro,NSW 
Bull Holes Corner,Electorate,Riverina,NSW 
Gabanintha,Electorate,Durack,WA 
Lower Tarcutta,Electorate,Riverina,NSW 
Arable,Electorate,Eden-Monaro,NSW 
Paw Paw,Electorate,Grey,SA 
Rocky Hall,Electorate,Eden-Monaro,NSW 
Cootralantra,Electorate,Eden-Monaro,NSW 
Yellow Water Hole,Electorate,Eden-Monaro,NSW 
Yellow Waterhole,Electorate,Eden-Monaro,NSW 
Walalkara,Electorate,Grey,SA 
Purananja,Electorate,Grey,SA 
Sandy Bore,Electorate,Grey,SA 
Narrabarba,Electorate,Eden-Monaro,NSW 
Lobs Hole,Electorate,Riverina,NSW 
Strathmore,Electorate,Riverina,NSW 
Westwood,Electorate,Riverina,NSW 
Westwood,Electorate,Riverina,NSW 
New Buildings,Electorate,Eden-Monaro,NSW 
Uley,Electorate,Riverina,NSW 
Kiandra,Electorate,Riverina,NSW 
Harefield,Electorate,Riverina,NSW 
Old Kiandra Goldfields,Electorate,Riverina,NSW 
Ajana,Electorate,Durack,WA 
Village of Ravine,Electorate,Riverina,NSW 
Inspiration Point,Electorate,Riverina,NSW 
Kamarah,Electorate,Riverina,NSW 
Melbergen,Electorate,Riverina,NSW 
Creawah,Electorate,Eden-Monaro,NSW 
Creewah,Electorate,Eden-Monaro,NSW 
The Dip,Electorate,Riverina,NSW 
Kalpi,Electorate,Grey,SA 
Reedy Flat,Electorate,Riverina,NSW 
Batlow,Electorate,Riverina,NSW 
Batlow,Electorate,Riverina,NSW 
Towamba Village Of,Electorate,Eden-Monaro,NSW 
Village of Sturt,Electorate,Eden-Monaro,NSW 
Towamba,Electorate,Eden-Monaro,NSW 
Eringowarra,Electorate,Riverina,NSW 
Bindangwah,Electorate,Durack,WA 
BATLOW,Electorate,Riverina,GA 
Undada,Electorate,Grey,SA 
Village of Burragate,Electorate,Eden-Monaro,NSW 
Burragate,Electorate,Eden-Monaro,NSW 
Frying Pan,Electorate,Eden-Monaro,NSW 
Gap Well,Electorate,Grey,SA 
Illawong,Electorate,Eden-Monaro,NSW 
Anglers Reach,Electorate,Eden-Monaro,NSW 
Walleroobie,Electorate,Riverina,NSW 
Lower Towamba,Electorate,Eden-Monaro,NSW 
The High Ground,Electorate,Riverina,NSW 
Holts Flat,Electorate,Eden-Monaro,NSW 
Methul,Electorate,Riverina,NSW 
Malara,Electorate,Durack,WA 
North Berry Jerry,Electorate,Riverina,NSW 
Berry Jerry,Electorate,Riverina,NSW 
Hume and Hovell Lookout,Electorate,Riverina,NSW 
Frying Pan,Electorate,Eden-Monaro,NSW 
Cooloowye,Electorate,Eden-Monaro,NSW 
Old Adaminaby,Electorate,Eden-Monaro,NSW 
Town of Denison,Electorate,Eden-Monaro,NSW 
West Denison,Electorate,Eden-Monaro,NSW 
Town of West Denison,Electorate,Eden-Monaro,NSW 
Denison,Electorate,Eden-Monaro,NSW 
Lincluden,Electorate,Eden-Monaro,NSW 
Yithan. Village Of,Electorate,Riverina,NSW 
Yithan,Electorate,Riverina,NSW 
Sandy Creek,Electorate,Riverina,NSW 
Mintabie,Electorate,Grey,SA 
Mindipa,Electorate,Grey,SA 
Village of Rankins Springs,Electorate,Riverina,NSW 
Rankins Springs,Electorate,Riverina,NSW 
Wilkaru,Electorate,Grey,SA 
Green Hills,Electorate,Riverina,NSW 
Thoko,Electorate,Eden-Monaro,NSW 
Sharps Creek,Electorate,Riverina,NSW 
Sharps Creek,Electorate,Riverina,NSW 
Glen Allen,Electorate,Eden-Monaro,NSW 
Rockview,Electorate,Riverina,NSW 
Coodoonga,Electorate,Durack,WA 
Village of Monia Gap,Electorate,Riverina,NSW 
Monia Gap,Electorate,Riverina,NSW 
Providence Portal,Electorate,Eden-Monaro,NSW 
Poison Corner,Electorate,Farrer,NSW 
West Binnu,Electorate,Durack,WA 
Mount Darragh,Electorate,Eden-Monaro,NSW 
Wiluna,Electorate,Durack,WA 
Six Mile Diggings,Electorate,Riverina,NSW 
Square Range,Electorate,Eden-Monaro,NSW 
ARDLETHAN,Electorate,Riverina,GA 
WILUNA,Electorate,Durack,GA 
Upper Kiah,Electorate,Eden-Monaro,NSW 
Village of Mundarlo,Electorate,Riverina,NSW 
Dog Trap Flat,Electorate,Riverina,NSW 
Som Valley,Electorate,Eden-Monaro,NSW 
Sailors Well,Electorate,Grey,SA 
Wonboyn Lake,Electorate,Eden-Monaro,NSW 
Ardlethan,Electorate,Riverina,NSW 
Ardlethan,Electorate,Riverina,NSW 
Ellerslie,Electorate,Riverina,NSW 
Ellerslie,Electorate,Riverina,NSW 
Aparawilinitja,Electorate,Grey,SA 
Tjilpil Number Three,Electorate,Grey,SA 
Rannock,Electorate,Riverina,NSW 
Greenglade,Electorate,Eden-Monaro,NSW 
Antara,Electorate,Grey,SA 
Holdup Gate,Electorate,Riverina,NSW 
Lake Carnegie,Electorate,Durack,WA 
Lowlands,Electorate,Riverina,NSW 
Mundarlo,Electorate,Riverina,NSW 
Yarran Water Holes,Electorate,Riverina,NSW 
Adaminaby,Electorate,Eden-Monaro,NSW 
Myalla,Electorate,Eden-Monaro,NSW 
Pinbeyan,Electorate,Riverina,NSW 
Pinbeyan,Electorate,Riverina,NSW 
Erigolia,Electorate,Riverina,NSW 
Coolringdon,Electorate,Eden-Monaro,NSW 
Talbingo,Electorate,Riverina,NSW 
Talbingo,Electorate,Riverina,NSW 
TALBINGO,Electorate,Riverina,GA 
Black Creek,Electorate,Riverina,NSW 
Black Creek,Electorate,Riverina,NSW 
Hylands Flat,Electorate,Riverina,NSW 
Weld Range,Electorate,Durack,WA 
Wantabadgery,Electorate,Riverina,NSW 
Wonboyn,Electorate,Eden-Monaro,NSW 
Bangadang,Electorate,Riverina,NSW 
Gooandra Hut,Electorate,Riverina,NSW 
Mount Adrah,Electorate,Riverina,NSW 
Ajana Kalbari Road,Electorate,Durack,AHO 
Bangadang,Electorate,Riverina,NSW 
Village of Wondalga,Electorate,Riverina,NSW 
Wondalga,Electorate,Riverina,NSW 
Wondalga,Electorate,Riverina,NSW 
Wambrook,Electorate,Eden-Monaro,NSW 
Knoxs Valley,Electorate,Eden-Monaro,NSW 
Kiah,Electorate,Eden-Monaro,NSW 
Wyndham,Electorate,Eden-Monaro,NSW 
Nannine,Electorate,Durack,WA 
Yalgogrin South,Electorate,Riverina,NSW 
Gunn,Electorate,Riverina,NSW 
